ID_Material,Material_label,Material_category_primary,Material_category_secondary,Category_rank,Usage_Notes,Mapping_OLD_DB
LMN_04,Brazi de Crăciun,Lemn,Compostabile,,Poliierarhie cu locație primară în Lemn,No
PER_01,Măști faciale,Periculoase,,6,,Yes
PER_02,Solvenți,Periculoase,,,,Yes
PER_03,Vopsea,Periculoase,,,,Yes
PER_04,Pesticide,Periculoase,,,,Yes
PER_05,Erbicide,Periculoase,,,,Yes
PER_06,Îngrășăminte,Periculoase,,,,Yes
PER_07,Dispozitive medicale de uz personal,Periculoase,,,,No
MA_04,Tuburi de aluminiu cu aerosoli,Metal si Aluminiu,Periculoase,,Poliierarhie cu locație primara in Metal & Aluminiu,No 
ALT_01,ABS,Plastic,Altele,15,Poliierarhie cu locație primara in Plastic,Yes
ALT_02,Filtre de apă,Altele,,,,Yes
ALT_03,Fibră optică,Altele,,,,Yes
ALT_04,Mesh-uri publicitare,Altele,,,,Yes
ALT_05,Jucării,Altele,,,,Yes
VOL_01,Saltele,Voluminoase,,13,,No
VOL_02,Alte obiecte voluminoase,Voluminoase,,,,No
LMN_01,Mobilă din lemn,Lemn,Voluminoase,,Poliierarhie cu locație primară în Lemn,Yes
DE_02,DEEE mari,DEEE,,,Poliierarhie cu locație primara in DEEE-uri,Yes
TEX_05,Alte textile,Textile,Voluminoase,,Poliierarhie cu locație primara in Textile,Yes
MED_01,Medicamente,Medicamente,,14,,mark it as yes or no? (erau Periculoase>Medicamente)
